[ SWEEP SETTINGS ],,,,,,,,,,,,,,,,,,
Bias & Step SMU NPLC,0.056,,,,,,,,,,,,,,,,,
Bias & Step SMU Auto Zero,ONCE,,,,,,,,,,,,,,,,,
Bias & Step SMU Source Delay,0 s,,,,,,,,,,,,,,,,,
Bias & Step SMU Measure Count,1,,,,,,,,,,,,,,,,,
Bias & Step SMU Measure Delay,0 s,,,,,,,,,,,,,,,,,
Bias & Step SMU Measure Delay Factor,1,,,,,,,,,,,,,,,,,
Bias & Step SMU Filter Type,OFF,,,,,,,,,,,,,,,,,
Bias & Step SMU Filter Count,Not Applicable,,,,,,,,,,,,,,,,,
Bias & Step SMU Analog Filter,OFF,,,,,,,,,,,,,,,,,
Sweep SMU Timing,Same as Bias & Step SMU,,,,,,,,,,,,,,,,,
Sweep SMU Sampling Interval,Not Applicable,,,,,,,,,,,,,,,,,
Sweep SMU Sampling Count,Not Applicable,,,,,,,,,,,,,,,,,
Sweep SMU Sampling Delay,Not Applicable,,,,,,,,,,,,,,,,,
Sweep SMU Sampling Analog Filter,Not Applicable,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Instrument Name,Bias_SMU,Sweep_SMU,,,,,,,,,,,,,,,,
Instrument ID,localnode.smub,localnode.smua,,,,,,,,,,,,,,,,
Assignment Type,Bias,Sweep,,,,,,,,,,,,,,,,
Source Function,voltage,voltage,,,,,,,,,,,,,,,,
Source Mode,Normal,Normal,,,,,,,,,,,,,,,,
Measure Function,current,current,,,,,,,,,,,,,,,,
Sense Mode,Two-Wire,Two-Wire,,,,,,,,,,,,,,,,
Asymptote,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,
Source Limit,1.0 mA,100.0 mA,,,,,,,,,,,,,,,,
Source Range,2 V,2 V,,,,,,,,,,,,,,,,
Bias Source Value,0.0 V,Not Applicable,,,,,,,,,,,,,,,,
Step/Sweep Start Level,Not Applicable,2.0 V,,,,,,,,,,,,,,,,
Step/Sweep Stop Level,Not Applicable,-2.0 V,,,,,,,,,,,,,,,,
Step/Sweep Style,Not Applicable,LIN,,,,,,,,,,,,,,,,
# of steps / sweep points,Not Applicable,60,,,,,,,,,,,,,,,,
Measure Range,100 mA,100 mA,,,,,,,,,,,,,,,,
Step-to-Sweep delay,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,
Custom Sweep?,Not Applicable,No,,,,,,,,,,,,,,,,
Sweep time/point,Not Applicable,50 ms,,,,,,,,,,,,,,,,
Pulse Sweep?,Not Applicable,Yes,,,,,,,,,,,,,,,,
Pulse Bias Level,Not Applicable,10.0 mV,,,,,,,,,,,,,,,,
Pulse Width,Not Applicable,1 ms,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
[ DATA ],,,,,,,,,,,,,,,,,,
Name,Bias_SMU,,,Sweep_SMU,,,,,,,,,,,,,,
Buffer,localnode.smub.nvbuffer1,,,localnode.smua.nvbuffer1,,,,,,,,,,,,,,
NumReadings,1,,,60,,,,,,,,,,,,,,
BaseTimestamp,3/27/15 9:11 PM 0.126748 (GMT),,,3/27/15 9:11 PM 0.131294 (GMT),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Timestamp,Source Value,Reading,Timestamp,Source Value,10K,30K,60K,100K,150K,,,,,,,,
,(seconds),(Volts),(Amps),(seconds),,,,,,,,,(Volts),(Amps),(Amps),(Amps),(Amps),(Amps)
1,0,0,7.15E-08,0,2,0.06471695,0.06822699,0.07042652,0.07716977,0.07829004,,,,,,,,
2,,,,0.049997,1.932203,0.06238002,0.0656301,0.06780239,0.07433023,0.07542827,,,,,,,,
3,,,,0.099996,1.864407,0.06009337,0.06320175,0.06534358,0.07165654,0.07271887,,,,,,,,
4,,,,0.149997,1.79661,0.0578442,0.060815,0.06285962,0.06896996,0.07001682,,,,,,,,
5,,,,0.199996,1.728814,0.05559703,0.05845315,0.06043146,0.06629367,0.06732558,,,,,,,,
6,,,,0.249997,1.661017,0.05337347,0.05611056,0.05798658,0.0636284,0.0646292,,,,,,,,
7,,,,0.299996,1.59322,0.0511348,0.05372779,0.05555826,0.06096529,0.06194171,,,,,,,,
8,,,,0.349996,1.525424,0.04890127,0.05139416,0.05314289,0.05830891,0.05925422,,,,,,,,
9,,,,0.399997,1.457627,0.04667387,0.04899385,0.0507581,0.05566342,0.05657333,,,,,,,,
10,,,,0.45,1.38983,0.04451877,0.04680989,0.04845271,0.05313518,0.05401919,,,,,,,,
11,,,,0.499997,1.322034,0.04220184,0.0443262,0.04591764,0.05038117,0.05121997,,,,,,,,
12,,,,0.549996,1.254237,0.04001008,0.04197217,0.04345207,0.04773584,0.04854803,,,,,,,,
13,,,,0.599996,1.186441,0.03778714,0.03964842,0.04103042,0.04510337,0.04585656,,,,,,,,
14,,,,0.649997,1.118644,0.03557929,0.0373823,0.0386477,0.04247728,0.04321567,,,,,,,,
15,,,,0.699996,1.050847,0.03338791,0.03504637,0.03630383,0.03985539,0.04055692,,,,,,,,
16,,,,0.749997,0.9830508,0.03119632,0.03267748,0.03389069,0.03724223,0.03790606,,,,,,,,
17,,,,0.799996,0.9152542,0.02900043,0.03043473,0.03152,0.03463123,0.03525811,,,,,,,,
18,,,,0.849997,0.8474576,0.02682446,0.0281457,0.0291556,0.03203202,0.03261409,,,,,,,,
19,,,,0.9,0.779661,0.02469189,0.0259123,0.02685603,0.02949721,0.03004347,,,,,,,,
20,,,,0.949996,0.7118644,0.02245975,0.0235641,0.02439904,0.02683998,0.02734257,,,,,,,,
21,,,,0.999997,0.6440678,0.02029458,0.02128725,0.02204782,0.02425113,0.02471516,,,,,,,,
22,,,,1.049996,0.5762712,0.01812683,0.01901585,0.01969361,0.0216743,0.02208967,,,,,,,,
23,,,,1.099996,0.5084746,0.01596766,0.01675555,0.01735772,0.01910077,0.01947661,,,,,,,,
24,,,,1.149996,0.440678,0.01381775,0.01448392,0.01502558,0.01653445,0.0168656,,,,,,,,
25,,,,1.199996,0.3728814,0.0116726,0.01222308,0.01270701,0.01397586,0.01426172,,,,,,,,
26,,,,1.249997,0.3050847,0.009530604,0.009994662,0.01038413,0.01141996,0.01165968,,,,,,,,
27,,,,1.299996,0.2372881,0.007399869,0.007764101,0.008061886,0.008877242,0.009101093,,,,,,,,
28,,,,1.350001,0.1694915,0.005283308,0.005538297,0.005753112,0.006345093,0.006481815,,,,,,,,
29,,,,1.399996,0.1016949,0.003156257,0.003309417,0.003436911,0.003795087,0.003877783,,,,,,,,
30,,,,1.449997,0.03389831,0.001046598,0.001100004,0.001142871,0.001261723,0.001290464,,,,,,,,
31,,,,1.500105,-0.03389831,-0.001063538,-0.001119614,-0.001163006,-0.001284075,-0.001312268,,,,,,,,
32,,,,1.550105,-0.1016949,-0.003177965,-0.003336156,-0.003463864,-0.003821397,-0.003905141,,,,,,,,
33,,,,1.600105,-0.1694915,-0.005302954,-0.005562031,-0.005774999,-0.00636431,-0.006499481,,,,,,,,
34,,,,1.650105,-0.2372881,-0.007437837,-0.007794428,-0.008097696,-0.008912886,-0.00909971,,,,,,,,
35,,,,1.700105,-0.3050847,-0.009571564,-0.01004958,-0.01042591,-0.01146791,-0.01170362,,,,,,,,
36,,,,1.750105,-0.3728814,-0.01171833,-0.01230313,-0.01275574,-0.01403282,-0.01431022,,,,,,,,
37,,,,1.800105,-0.440678,-0.01387551,-0.01454994,-0.01508626,-0.01659834,-0.01692493,,,,,,,,
38,,,,1.850105,-0.5084746,-0.01603884,-0.01681689,-0.0174275,-0.01917443,-0.01954547,,,,,,,,
39,,,,1.900104,-0.5762712,-0.01820781,-0.0191197,-0.01978016,-0.02175559,-0.0221706,,,,,,,,
40,,,,1.950106,-0.6440678,-0.0203847,-0.02139624,-0.02217022,-0.02434218,-0.02480157,,,,,,,,
41,,,,2.000105,-0.7118644,-0.02256932,-0.02365032,-0.02452227,-0.02693583,-0.02743943,,,,,,,,
42,,,,2.050105,-0.779661,-0.02475127,-0.02598142,-0.02690458,-0.02953705,-0.03007904,,,,,,,,
43,,,,2.100105,-0.8474576,-0.02695774,-0.02829373,-0.02929342,-0.0321405,-0.03271774,,,,,,,,
44,,,,2.150105,-0.9152542,-0.02913547,-0.03060199,-0.03168745,-0.03469699,-0.03529966,,,,,,,,
45,,,,2.200105,-0.9830508,-0.03131197,-0.0328835,-0.03397628,-0.03724993,-0.03787621,,,,,,,,
46,,,,2.250105,-1.050847,-0.03350126,-0.03515161,-0.036316,-0.03977951,-0.04044664,,,,,,,,
47,,,,2.300105,-1.118644,-0.03565706,-0.03741527,-0.03862889,-0.04231025,-0.04301186,,,,,,,,
48,,,,2.350107,-1.186441,-0.03777163,-0.0396718,-0.04097113,-0.04482473,-0.04556266,,,,,,,,
49,,,,2.400105,-1.254237,-0.03991579,-0.04189892,-0.04328057,-0.04736067,-0.04812412,,,,,,,,
50,,,,2.450105,-1.322034,-0.04203473,-0.0441048,-0.04564182,-0.04988704,-0.05067815,,,,,,,,
51,,,,2.500105,-1.38983,-0.04416991,-0.04636325,-0.04796145,-0.05241386,-0.05324022,,,,,,,,
52,,,,2.550105,-1.457627,-0.04627858,-0.04867227,-0.05026637,-0.05493187,-0.05576972,,,,,,,,
53,,,,2.600105,-1.525424,-0.04839523,-0.05084659,-0.05258578,-0.05745915,-0.05832322,,,,,,,,
54,,,,2.650105,-1.59322,-0.05053172,-0.05312113,-0.05483912,-0.05996138,-0.06087601,,,,,,,,
55,,,,2.700105,-1.661017,-0.05266161,-0.05541406,-0.05717708,-0.0625072,-0.06341739,,,,,,,,
56,,,,2.750105,-1.728814,-0.05479642,-0.05765833,-0.05949656,-0.06500552,-0.06597441,,,,,,,,
57,,,,2.800105,-1.79661,-0.05689812,-0.05982835,-0.06181749,-0.06751388,-0.06851096,,,,,,,,
58,,,,2.850104,-1.864407,-0.05899928,-0.06213684,-0.06415889,-0.07003327,-0.07101565,,,,,,,,
59,,,,2.900104,-1.932203,-0.06113093,-0.06436747,-0.06653363,-0.07256722,-0.07359266,,,,,,,,
60,,,,2.950105,-2,-0.06317069,-0.06667926,-0.06882828,-0.07507664,-0.07609763,,,,,,,,
